procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 98532304  26836 875042560    0    0     0     0 50840 10845 15  0 85  0  0
 3  0 147560 98576096  26836 875042624    0    0     0  1751 55205 10497 18  1 81  0  0
130  0 147560 98569176  26836 875042624    0    0     0     3 46585 12113 14  0 85  0  0
130  0 147560 98569328  26836 875042624    0    0     0  1992 46902 13403 15  0 85  0  0
 3  0 147560 98570848  26836 875042624    0    0     0     0 58669 9287 20  1 79  0  0
130  0 147560 99462656  26836 875053696    0    0     0     0 82521 19037 17  1 82  0  0
 4  0 147560 99548752  26836 875053696    0    0     0     0 53286 15919 14  0 85  0  0
 5  0 147560 99527072  26836 875054208    0    0     0  2969 67365 34351 16  1 83  0  0
 4  0 147560 99000080  26836 875054208    0    0     0    99 154939 25882 25  1 74  0  0
 3  0 147560 99525920  26836 875054208    0    0     0 11620 110484 23134 14  1 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
132  0 147560 99525920  26836 875054208    0    0     0     0 247032 26720 17  1 82  0  0
 4  0 147560 98869232  26836 875054208    0    0     0     0 350611 24323 26  1 72  0  0
130  0 147560 99522336  26836 875054208    0    0     0  2474 89855 24642 12  1 87  0  0
130  0 147560 99521624  26836 875054208    0    0     0     0 59414 13935 15  0 85  0  0
131  0 147560 99520920  26836 875054208    0    0     0    70 87773 17120 17  0 83  0  0
 3  0 147560 99519056  26836 875054208    0    0     0   169 144964 13886 23  1 76  0  0
131  0 147560 99547048  26836 875054208    0    0     0     0 104977 14192 15  0 85  0  0
131  0 147560 99572896  26836 875054400    0    0     0  2278 56520 18515 17  0 83  0  0
 4  0 147560 99552704  26836 875054464    0    0     0    12 53454 8852 18  1 81  0  0
 4  0 147560 99551216  26836 875054464    0    0     0     0 52008 21624 16  0 84  0  0
130  0 147560 99552864  26836 875054528    0    0     0  1472 53938 16190 17  0 83  0  0
 3  0 147560 99551616  26836 875054528    0    0     0   545 60591 10710 20  1 79  0  0
 3  0 147560 99545792  26836 875054528    0    0     0     0 64739 16698 20  0 80  0  0
 3  0 147560 99545296  26836 875054528    0    0     0   554 44990 13319 14  0 86  0  0
 3  0 147560 99547200  26836 875054528    0    0     0     0 53767 8245 18  1 82  0  0
130  0 147560 99543840  26836 875054528    0    0     0    80 54244 15329 17  0 83  0  0
130  0 147560 99543464  26836 875054528    0    0     0     0 49240 13156 16  0 84  0  0
 3  0 147560 99543968  26836 875054528    0    0     0     0 58509 9511 19  1 80  0  0
 3  0 147560 99544320  26836 875054720    0    0     0     2 51934 14523 17  0 83  0  0
130  0 147560 99542608  26836 875054720    0    0     0     0 56630 16730 18  0 82  0  0
 3  0 147560 99538568  26836 875054784    0    0     0    32 69501 13245 23  1 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
